,Year,sector,energy_products,consumption_ktoe,consumption_TWh
155,2014-01-01,Commerce and Services-related,Petroleum Products,78.9,0.9176070000000001
156,2014-01-01,Households,Coal and Peat,0.0,0.0
157,2014-01-01,Households,Crude Oil,0.0,0.0
158,2014-01-01,Households,Electricity,595.4,6.9245019999999995
159,2014-01-01,Households,Natural Gas,58.9,0.6850069999999999
160,2014-01-01,Households,Others,0.0,0.0
161,2014-01-01,Households,Petroleum Products,24.1,0.280283
162,2014-01-01,Industry-related,Coal and Peat,162.2,1.886386
163,2014-01-01,Industry-related,Crude Oil,0.0,0.0
164,2014-01-01,Industry-related,Electricity,1698.5,19.753555
165,2014-01-01,Industry-related,Natural Gas,1192.7,13.871101
166,2014-01-01,Industry-related,Others,0.0,0.0
167,2014-01-01,Industry-related,Petroleum Products,6665.5,77.51976499999999
168,2014-01-01,Others,Coal and Peat,0.0,0.0
169,2014-01-01,Others,Crude Oil,0.0,0.0
170,2014-01-01,Others,Electricity,20.4,0.237252
171,2014-01-01,Others,Natural Gas,0.8,0.009304
172,2014-01-01,Others,Others,0.0,0.0
173,2014-01-01,Others,Petroleum Products,0.0,0.0
174,2014-01-01,Transport-related,Coal and Peat,0.0,0.0
175,2014-01-01,Transport-related,Crude Oil,0.0,0.0
176,2014-01-01,Transport-related,Electricity,209.9,2.441137
177,2014-01-01,Transport-related,Natural Gas,17.4,0.202362
178,2014-01-01,Transport-related,Others,0.0,0.0
179,2014-01-01,Transport-related,Petroleum Products,2199.8,25.583674000000002
180,2015-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
181,2015-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
182,2015-01-01,Commerce and Services-related,Electricity,1503.1,17.481053
183,2015-01-01,Commerce and Services-related,Natural Gas,88.2,1.025766
184,2015-01-01,Commerce and Services-related,Others,0.0,0.0
185,2015-01-01,Commerce and Services-related,Petroleum Products,80.0,0.9304
186,2015-01-01,Households,Coal and Peat,0.0,0.0
187,2015-01-01,Households,Crude Oil,0.0,0.0
188,2015-01-01,Households,Electricity,620.9,7.221067
189,2015-01-01,Households,Natural Gas,59.9,0.696637
190,2015-01-01,Households,Others,0.0,0.0
191,2015-01-01,Households,Petroleum Products,26.7,0.310521
192,2015-01-01,Industry-related,Coal and Peat,162.9,1.894527
193,2015-01-01,Industry-related,Crude Oil,0.0,0.0
194,2015-01-01,Industry-related,Electricity,1727.3,20.088499
195,2015-01-01,Industry-related,Natural Gas,1176.1,13.678042999999999
196,2015-01-01,Industry-related,Others,0.0,0.0
197,2015-01-01,Industry-related,Petroleum Products,7251.6,84.336108
198,2015-01-01,Others,Coal and Peat,0.0,0.0
199,2015-01-01,Others,Crude Oil,0.0,0.0
200,2015-01-01,Others,Electricity,24.0,0.27912
201,2015-01-01,Others,Natural Gas,2.0,0.02326
202,2015-01-01,Others,Others,0.0,0.0
203,2015-01-01,Others,Petroleum Products,0.0,0.0
204,2015-01-01,Transport-related,Coal and Peat,0.0,0.0
205,2015-01-01,Transport-related,Crude Oil,0.0,0.0
206,2015-01-01,Transport-related,Electricity,210.2,2.444626
207,2015-01-01,Transport-related,Natural Gas,14.3,0.166309
208,2015-01-01,Transport-related,Others,0.0,0.0
209,2015-01-01,Transport-related,Petroleum Products,2364.5,27.499135
210,2016-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
211,2016-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
212,2016-01-01,Commerce and Services-related,Electricity,1521.9,17.699697
213,2016-01-01,Commerce and Services-related,Natural Gas,92.1,1.0711229999999998
214,2016-01-01,Commerce and Services-related,Others,0.0,0.0
215,2016-01-01,Commerce and Services-related,Petroleum Products,77.3,0.898999
216,2016-01-01,Households,Coal and Peat,0.0,0.0
217,2016-01-01,Households,Crude Oil,0.0,0.0
218,2016-01-01,Households,Electricity,652.3,7.586249
219,2016-01-01,Households,Natural Gas,60.9,0.708267
220,2016-01-01,Households,Others,0.0,0.0
221,2016-01-01,Households,Petroleum Products,25.8,0.300054
222,2016-01-01,Industry-related,Coal and Peat,166.8,1.9398840000000002
223,2016-01-01,Industry-related,Crude Oil,0.0,0.0
224,2016-01-01,Industry-related,Electricity,1755.7,20.418791
225,2016-01-01,Industry-related,Natural Gas,1193.5,13.880405
226,2016-01-01,Industry-related,Others,0.0,0.0
227,2016-01-01,Industry-related,Petroleum Products,6554.3,76.22650900000001
228,2016-01-01,Others,Coal and Peat,0.0,0.0
229,2016-01-01,Others,Crude Oil,0.0,0.0
230,2016-01-01,Others,Electricity,24.1,0.280283
231,2016-01-01,Others,Natural Gas,2.6,0.030238
232,2016-01-01,Others,Others,0.0,0.0
233,2016-01-01,Others,Petroleum Products,0.0,0.0
234,2016-01-01,Transport-related,Coal and Peat,0.0,0.0
235,2016-01-01,Transport-related,Crude Oil,0.0,0.0
236,2016-01-01,Transport-related,Electricity,226.9,2.638847
237,2016-01-01,Transport-related,Natural Gas,11.2,0.13025599999999998
238,2016-01-01,Transport-related,Others,0.0,0.0
239,2016-01-01,Transport-related,Petroleum Products,2436.5,28.336495
240,2017-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
241,2017-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
242,2017-01-01,Commerce and Services-related,Electricity,1553.1,18.062552999999998
243,2017-01-01,Commerce and Services-related,Natural Gas,88.5,1.029255
244,2017-01-01,Commerce and Services-related,Others,0.0,0.0
245,2017-01-01,Commerce and Services-related,Petroleum Products,75.2,0.874576
246,2017-01-01,Households,Coal and Peat,0.0,0.0
247,2017-01-01,Households,Crude Oil,0.0,0.0
248,2017-01-01,Households,Electricity,626.8,7.289683999999999
249,2017-01-01,Households,Natural Gas,62.2,0.723386
250,2017-01-01,Households,Others,0.0,0.0
251,2017-01-01,Households,Petroleum Products,25.1,0.29191300000000003
252,2017-01-01,Industry-related,Coal and Peat,600.5,6.983815
253,2017-01-01,Industry-related,Crude Oil,0.0,0.0
254,2017-01-01,Industry-related,Electricity,1826.4,21.241032
255,2017-01-01,Industry-related,Natural Gas,1278.4,14.867792000000001
256,2017-01-01,Industry-related,Others,0.0,0.0
257,2017-01-01,Industry-related,Petroleum Products,6547.3,76.145099
258,2017-01-01,Others,Coal and Peat,0.0,0.0
259,2017-01-01,Others,Crude Oil,0.0,0.0
260,2017-01-01,Others,Electricity,23.8,0.276794
261,2017-01-01,Others,Natural Gas,2.4,0.027912
262,2017-01-01,Others,Others,0.0,0.0
263,2017-01-01,Others,Petroleum Products,0.0,0.0
264,2017-01-01,Transport-related,Coal and Peat,0.0,0.0
265,2017-01-01,Transport-related,Crude Oil,0.0,0.0
266,2017-01-01,Transport-related,Electricity,238.0,2.76794
267,2017-01-01,Transport-related,Natural Gas,6.9,0.080247
268,2017-01-01,Transport-related,Others,0.0,0.0
269,2017-01-01,Transport-related,Petroleum Products,2192.0,25.49296
270,2018-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
271,2018-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
272,2018-01-01,Commerce and Services-related,Electricity,1597.8,18.582414
273,2018-01-01,Commerce and Services-related,Natural Gas,87.6,1.0187879999999998
274,2018-01-01,Commerce and Services-related,Others,0.0,0.0
275,2018-01-01,Commerce and Services-related,Petroleum Products,74.4,0.865272
276,2018-01-01,Households,Coal and Peat,0.0,0.0
277,2018-01-01,Households,Crude Oil,0.0,0.0
278,2018-01-01,Households,Electricity,621.8,7.231533999999999
279,2018-01-01,Households,Natural Gas,63.7,0.740831
280,2018-01-01,Households,Others,0.0,0.0
281,2018-01-01,Households,Petroleum Products,24.8,0.288424
282,2018-01-01,Industry-related,Coal and Peat,182.5,2.122475
283,2018-01-01,Industry-related,Crude Oil,0.0,0.0
284,2018-01-01,Industry-related,Electricity,1841.5,21.416645
285,2018-01-01,Industry-related,Natural Gas,1321.5,15.369045
286,2018-01-01,Industry-related,Others,0.0,0.0
287,2018-01-01,Industry-related,Petroleum Products,6520.7,75.835741
288,2018-01-01,Others,Coal and Peat,0.0,0.0
289,2018-01-01,Others,Crude Oil,0.0,0.0
290,2018-01-01,Others,Electricity,22.2,0.25818599999999997
291,2018-01-01,Others,Natural Gas,3.8,0.044194
292,2018-01-01,Others,Others,0.0,0.0
293,2018-01-01,Others,Petroleum Products,0.0,0.0
294,2018-01-01,Transport-related,Coal and Peat,0.0,0.0
295,2018-01-01,Transport-related,Crude Oil,0.0,0.0
296,2018-01-01,Transport-related,Electricity,253.6,2.9493679999999998
297,2018-01-01,Transport-related,Natural Gas,2.8,0.032563999999999996
298,2018-01-01,Transport-related,Others,0.0,0.0
299,2018-01-01,Transport-related,Petroleum Products,2111.5,24.556745
300,2019-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
301,2019-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
302,2019-01-01,Commerce and Services-related,Electricity,1660.8,19.315103999999998
303,2019-01-01,Commerce and Services-related,Natural Gas,87.8,1.0211139999999999
304,2019-01-01,Commerce and Services-related,Others,0.0,0.0
305,2019-01-01,Commerce and Services-related,Petroleum Products,70.4,0.818752
306,2019-01-01,Households,Coal and Peat,0.0,0.0
307,2019-01-01,Households,Crude Oil,0.0,0.0
308,2019-01-01,Households,Electricity,660.5,7.681615
309,2019-01-01,Households,Natural Gas,63.3,0.7361789999999999
310,2019-01-01,Households,Others,0.0,0.0
311,2019-01-01,Households,Petroleum Products,23.5,0.273305
312,2019-01-01,Industry-related,Coal and Peat,180.9,2.103867
313,2019-01-01,Industry-related,Crude Oil,0.0,0.0
314,2019-01-01,Industry-related,Electricity,1843.9,21.444557
315,2019-01-01,Industry-related,Natural Gas,1325.0,15.409749999999999
316,2019-01-01,Industry-related,Others,0.0,0.0
317,2019-01-01,Industry-related,Petroleum Products,7611.1,88.517093
318,2019-01-01,Others,Coal and Peat,0.0,0.0
319,2019-01-01,Others,Crude Oil,0.0,0.0
320,2019-01-01,Others,Electricity,21.6,0.251208
321,2019-01-01,Others,Natural Gas,3.6,0.041868
322,2019-01-01,Others,Others,0.0,0.0
323,2019-01-01,Others,Petroleum Products,0.0,0.0
324,2019-01-01,Transport-related,Coal and Peat,0.0,0.0
325,2019-01-01,Transport-related,Crude Oil,0.0,0.0
326,2019-01-01,Transport-related,Electricity,259.8,3.021474
327,2019-01-01,Transport-related,Natural Gas,2.7,0.031401
328,2019-01-01,Transport-related,Others,0.0,0.0
329,2019-01-01,Transport-related,Petroleum Products,2320.1,26.982763
