,Code,Year,Value,Value (TWh)
6627,ECU,2015-01-01,15.005,174.50815000000003
6628,ECU,2016-01-01,14.379,167.22777
6629,ECU,2017-01-01,14.804,172.17052
6630,ECU,2018-01-01,14.622,170.05386000000001
6631,ECU,2019-01-01,15.406,179.17178
6632,ECU,2020-01-01,13.57,157.81910000000002
6633,ECU,2021-01-01,0.0,0.0
6634,SLV,1960-01-01,0.0,0.0
6635,SLV,1961-01-01,0.0,0.0
6636,SLV,1962-01-01,0.0,0.0
6637,SLV,1963-01-01,0.0,0.0
6638,SLV,1964-01-01,0.0,0.0
6639,SLV,1965-01-01,0.0,0.0
6640,SLV,1966-01-01,0.0,0.0
6641,SLV,1967-01-01,0.0,0.0
6642,SLV,1968-01-01,0.0,0.0
6643,SLV,1969-01-01,0.0,0.0
6644,SLV,1970-01-01,0.0,0.0
6645,SLV,1971-01-01,1.752,20.37576
6646,SLV,1972-01-01,1.873,21.78299
6647,SLV,1973-01-01,1.98,23.0274
6648,SLV,1974-01-01,2.024,23.53912
6649,SLV,1975-01-01,2.26,26.2838
6650,SLV,1976-01-01,2.61,30.354300000000002
6651,SLV,1977-01-01,2.693,31.31959
6652,SLV,1978-01-01,2.852,33.16876
6653,SLV,1979-01-01,2.782,32.35466
6654,SLV,1980-01-01,2.519,29.295970000000004
6655,SLV,1981-01-01,2.722,31.65686
6656,SLV,1982-01-01,2.811,32.69193
6657,SLV,1983-01-01,2.702,31.42426
6658,SLV,1984-01-01,2.758,32.075540000000004
6659,SLV,1985-01-01,2.625,30.528750000000002
6660,SLV,1986-01-01,2.28,26.5164
6661,SLV,1987-01-01,2.544,29.586720000000003
6662,SLV,1988-01-01,2.373,27.597990000000003
6663,SLV,1989-01-01,2.433,28.29579
6664,SLV,1990-01-01,2.469,28.71447
6665,SLV,1991-01-01,2.715,31.57545
6666,SLV,1992-01-01,2.834,32.95942
6667,SLV,1993-01-01,2.983,34.69229000000001
6668,SLV,1994-01-01,3.159,36.73917
6669,SLV,1995-01-01,3.361,39.08843
6670,SLV,1996-01-01,3.21,37.332300000000004
6671,SLV,1997-01-01,3.555,41.34465
6672,SLV,1998-01-01,3.655,42.50765
6673,SLV,1999-01-01,3.792,44.10096
6674,SLV,2000-01-01,3.192,37.122960000000006
6675,SLV,2001-01-01,3.39,39.425700000000006
6676,SLV,2002-01-01,3.487,40.553810000000006
6677,SLV,2003-01-01,3.733,43.41479
6678,SLV,2004-01-01,3.769,43.833470000000005
6679,SLV,2005-01-01,3.867,44.97321
6680,SLV,2006-01-01,4.123,47.95049000000001
6681,SLV,2007-01-01,4.174,48.543620000000004
6682,SLV,2008-01-01,4.234,49.241420000000005
6683,SLV,2009-01-01,4.17,48.4971
6684,SLV,2010-01-01,4.23,49.19490000000001
6685,SLV,2011-01-01,4.217,49.04371
6686,SLV,2012-01-01,4.289,49.88107
6687,SLV,2013-01-01,4.052,47.12476
6688,SLV,2014-01-01,4.0,46.52
6689,SLV,2015-01-01,4.17,48.4971
6690,SLV,2016-01-01,4.259,49.53217000000001
6691,SLV,2017-01-01,4.192,48.75296000000001
6692,SLV,2018-01-01,4.32,50.241600000000005
6693,SLV,2019-01-01,4.572,53.172360000000005
6694,SLV,2020-01-01,4.178,48.590140000000005
6695,SLV,2021-01-01,0.0,0.0
6696,ERI,1960-01-01,0.0,0.0
6697,ERI,1961-01-01,0.0,0.0
6698,ERI,1962-01-01,0.0,0.0
6699,ERI,1963-01-01,0.0,0.0
6700,ERI,1964-01-01,0.0,0.0
6701,ERI,1965-01-01,0.0,0.0
6702,ERI,1966-01-01,0.0,0.0
6703,ERI,1967-01-01,0.0,0.0
6704,ERI,1968-01-01,0.0,0.0
6705,ERI,1969-01-01,0.0,0.0
6706,ERI,1970-01-01,0.0,0.0
6707,ERI,1971-01-01,0.0,0.0
6708,ERI,1972-01-01,0.0,0.0
6709,ERI,1973-01-01,0.0,0.0
6710,ERI,1974-01-01,0.0,0.0
6711,ERI,1975-01-01,0.0,0.0
6712,ERI,1976-01-01,0.0,0.0
6713,ERI,1977-01-01,0.0,0.0
6714,ERI,1978-01-01,0.0,0.0
6715,ERI,1979-01-01,0.0,0.0
6716,ERI,1980-01-01,0.0,0.0
6717,ERI,1981-01-01,0.0,0.0
6718,ERI,1982-01-01,0.0,0.0
6719,ERI,1983-01-01,0.0,0.0
6720,ERI,1984-01-01,0.0,0.0
6721,ERI,1985-01-01,0.0,0.0
6722,ERI,1986-01-01,0.0,0.0
6723,ERI,1987-01-01,0.0,0.0
6724,ERI,1988-01-01,0.0,0.0
6725,ERI,1989-01-01,0.0,0.0
6726,ERI,1990-01-01,0.0,0.0
6727,ERI,1991-01-01,0.0,0.0
6728,ERI,1992-01-01,0.877,10.19951
6729,ERI,1993-01-01,0.921,10.71123
